model,n,rps,rps_lower,rps_upper,log_loss,brier,accuracy
Market (Shin de-vigged),2660,0.1905406316131893,0.18555230072665296,0.1956662433132195,0.9620384300731588,0.5716803087966456,0.5481203007518797
Market + Dixon-Coles pool,2660,0.19054064343281713,0.18555229802339118,0.1956662513576029,0.9620384696443702,0.5716803332011672,0.5484962406015037
Dixon-Coles (calibrated),2660,0.19721055797777534,0.1920967083267316,0.20241318877284387,0.9857900366820337,0.5862193053165865,0.5338345864661654
Dixon-Coles,2660,0.19722262027578907,0.19214040959886522,0.20238373084048156,0.9857449859792593,0.586222269512144,0.5338345864661654
Base rate,2660,0.23182372568112283,0.22920971873438695,0.23440633779771036,1.0845695574105962,0.6574227492573637,0.40601503759398494
Uniform (2016 benchmark),2660,0.2339807852965748,0.23116123642439432,0.23667502088554723,1.0986122886681098,0.6666666666666669,0.40601503759398494
