weight,validation,test
0.0,0.938843206408037,0.9620384300731588
0.05,0.9393625779735099,0.9624134390704109
0.1,0.9399863018071931,0.9628745631605129
0.15,0.9407141103132385,0.9634216952330424
0.2,0.9415456507126005,0.9640547154200843
0.25,0.9424804997582493,0.9647734956633927
0.3,0.9435181781711041,0.9655779026508656
0.35,0.9446581641608763,0.9664677994289588
0.4,0.9458999055368243,0.9674430459932232
0.45,0.9472428300827288,0.968503499129784
0.5,0.9486863540424182,0.969649011739158
0.55,0.9502298887159006,0.9708794318292859
0.6,0.9518728452880945,0.9721946013226036
0.65,0.9536146380965113,0.9735943547852313
0.7,0.9554546865917573,0.9750785181560082
0.75,0.9573924162604578,0.9766469075290288
0.8,0.9594272587713911,0.9782993280248949
0.85,0.9615586515800104,0.9800355727721806
0.9,0.963786037191093,0.9818554220106591
0.95,0.966108862239784,0.9837586423208049
1.0,0.9685265765120743,0.9857449859792593
