season,n,market,goals,shots,gap
19/20,380,0.19677418548925482,0.2069000321217859,0.20904143534355646,0.010125846632531077
20/21,380,0.1820127836993204,0.18814400255383054,0.19204653901206167,0.006131218854510151
21/22,380,0.19527492943942631,0.2007538896018131,0.20230747322189926,0.005478960162386776
22/23,380,0.19496696952116468,0.2016414210730902,0.20212404089635222,0.006674451551925503
23/24,380,0.1839120575228585,0.19079568932671767,0.19862294189178495,0.006883631803859175
24/25,380,0.18384934128708072,0.19090678199300723,0.1931717110947661,0.00705744070592651
25/26,380,0.1969941543332195,0.20141652526027903,0.20304331573635023,0.004422370927059521
