model,rps_difference,lower,upper,significant
Shots on target,0.009510433700635154,0.0070116347331767685,0.012043244767522816,True
Dixon-Coles (goals),0.006681988662599813,0.004574897626397249,0.008837876755442101,True
Pool: market + shots,1.941781635233437e-18,3.244454621422932e-21,3.8995491385890104e-18,True
Pool: Dixon-Coles + shots,0.006524071792786505,0.0045380633124228135,0.008584004884933282,True
Pool: market + Dixon-Coles + shots,1.941781635233437e-18,3.244454621422932e-21,3.8995491385890104e-18,True
