model,rps_difference,lower,upper,significant
Uniform (2016 benchmark),0.04344015368338554,0.03789284152953909,0.048902894252146716,True
Base rate,0.04128309406793357,0.036208670412126436,0.046362199291717136,True
Dixon-Coles,0.006681988662599813,0.004574897626397249,0.008837876755442101,True
Dixon-Coles (calibrated),0.0066699263645860875,0.004564019126336755,0.008827501969730834,True
Market + Dixon-Coles pool,1.1819627837587636e-08,-1.039466036343703e-09,2.4958715527483796e-08,False
