model,ECE_H,ECE_D,ECE_A,ECE_macro,home_slope,home_intercept
Base rate,0.01644071763773053,0.010205162336194729,0.0062355553015357446,0.010960478425153667,0.1907728192568538,-0.3207576011212122
Dixon-Coles,0.0207731869754724,0.01513658179343765,0.027041354220320776,0.02098370766307694,0.9946386149511635,-0.054120746649567536
Dixon-Coles (calibrated),0.016970149470795833,0.01636790407862175,0.027524193529990235,0.02028741569313594,0.9847028950372969,-0.06068699714253633
Market (Shin de-vigged),0.028451571609322414,0.009505855635191544,0.025255866829127064,0.02107109802454701,1.1031841181730708,-0.09015318456210689
Market + Dixon-Coles pool,0.028451557761580003,0.009505902530874138,0.02525593406626149,0.02107113145290521,1.1031845032262122,-0.0901526860394783
