model,rps,rps_lower,rps_upper,log_loss,accuracy
Pool: market + shots,0.1905406316131893,0.18555230072665296,0.19566624331321955,0.9620384300731588,0.5481203007518797
Market (Shin de-vigged),0.1905406316131893,0.18555230072665296,0.1956662433132195,0.9620384300731588,0.5481203007518797
Pool: market + Dixon-Coles + shots,0.1905406316131893,0.18555230072665296,0.19566624331321955,0.9620384300731588,0.5481203007518797
Pool: Dixon-Coles + shots,0.19706470340597576,0.1923809692363422,0.20181389260925117,0.9847965573482921,0.5364661654135339
Dixon-Coles (goals),0.19722262027578907,0.19214040959886522,0.20238373084048156,0.9857449859792593,0.5338345864661654
Shots on target,0.20005106531382444,0.19592006498223025,0.20418988199701207,0.9959456640870641,0.5285714285714286
