weight,validation,test
-0.25,0.9378140484336975,0.9614577237831308
-0.245,0.9378091165526967,0.9614482200689738
-0.24,0.9378052202443318,0.961439576523833
-0.235,0.9378023600410428,0.9614317933498773
-0.23,0.9378005364609372,0.9614248707402638
-0.225,0.9377997500077869,0.9614188088792739
-0.22,0.9378000011710311,0.9614136079424489
-0.215,0.937801290425778,0.9614092680967283
-0.21,0.937803618232813,0.9614057895005891
-0.205,0.9378069850386063,0.9614031723041856
-0.2,0.9378113912753259,0.9614014166494915
-0.195,0.937816837360852,0.961400522670441
-0.19,0.9378233236987945,0.9614004904930726
-0.185,0.9378308506785128,0.9614013202356728
-0.18,0.9378394186751405,0.9614030120089194
-0.175,0.9378490280496099,0.9614055659160261
-0.17,0.9378596791486815,0.9614089820528874
-0.165,0.9378713723049755,0.9614132605082238
-0.16,0.9378841078370075,0.9614184013637257
-0.155,0.9378978860492241,0.9614244046941981
-0.15,0.9379127072320453,0.9614312705677063
