weight,validation,test
-1.0,0.9497004270154121,0.9722806986210009
-0.95,0.9482637507009725,0.9710086368383554
-0.9,0.946912305939258,0.969810344472529
-0.85,0.9456477547235369,0.9686870366441142
-0.8,0.9444717594458331,0.9676399271326198
-0.75,0.9433859698335604,0.9666702177859389
-0.7,0.9423920086248053,0.9657790857962598
-0.65,0.9414914564788297,0.9649676691149572
-0.6,0.9406858366709019,0.9642370505847708
-0.55,0.9399766001068167,0.9635882416882876
-0.5,0.9393651111202388,0.9630221670823432
-0.45,0.9388526344097483,0.962539651231951
-0.4,0.9384403233659778,0.9621414084093746
-0.35,0.9381292099640423,0.9618280370555393
-0.3,0.9379201963703804,0.9616000190397375
-0.25,0.9378140484336975,0.9614577237831308
-0.2,0.9378113912753259,0.9614014166494915
-0.15,0.9379127072320453,0.9614312705677063
-0.1,0.9381183364014573,0.9615473796113386
-0.05,0.9384284799745469,0.9617497732402353
0.0,0.938843206408037,0.9620384300731588
0.05,0.9393624603055604,0.9624132903406654
0.1,0.9399860736713856,0.9628742664884671
0.15,0.9407137790101447,0.963421251701225
0.2,0.9415452236049472,0.9640541263565555
0.25,0.94247998423805,0.9647727625843467
0.3,0.9435175816312299,0.9655770272005249
0.35,0.9446574939697544,0.966466783320723
0.4,0.9458991690149073,0.9674418909548541
0.45,0.9472420344795358,0.9685022068543679
0.5,0.9486855065132651,0.9696475838427512
0.55,0.9502289962978714,0.9708778698155105
0.6,0.9518719148752588,0.9721929065540147
0.65,0.9536136764148435,0.9735925284609972
0.7,0.9554537001745741,0.9750765612952799
0.75,0.9573914114254349,0.9766448209592984
0.8,0.9594262416003367,0.9782971123746455
0.85,0.9615576279025263,0.9800332284671497
0.9,0.9637850125730917,0.981852949273101
0.95,0.9661078419775545,0.9837560411711977
1.0,0.9685255656322529,0.9857422562399768
